"ID","nombrecompleto","INSTITUCION","Pais","LatLong","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
1586,"Berta Diaz","Ministerio de Seguridad Pública","colombia","4:-72'",,"Convenio Marco",1600,,"no",0
874,"Betsy Castro","MEF","estados unidos de américa","39,828175:-98,5795'","1014.63",,2700,,"no",0
843,"Betsy Castro","MEF","perú","-10:-76'","897.62",,1750,,"no",0
2151,"Bilibal Navarrete","Ministerio del Ambiente","méxico","23:-102'",,,630,,"no",0
2368,"Bilibal Navarrete","Ministerio del Ambiente","méxico","23:-102'",,,630,,"no",0
1698,"Billy Bonini","Ministerio del Ambiente","colombia","4:-72'",,,420,,"no",0
794,"Blanca Solís","MEF","perú","-10:-76'",,,630,,"no",0
2377,"Bolivar Jaén","Ministerio del Ambiente","argentina","-34:-64'",,,945,,"no",0
1823,"Bolivar Jaén","Ministerio del Ambiente","costa rica","10:-84'",,,525,,"no",0
1813,"Bolivar Jaén","Ministerio del Ambiente","ecuador","-2:-77,5'",,,420,,"no",0
2510,"Bolivar Jaén","Ministerio del Ambiente","el salvador","13,833333:-88,916667'",,,400,,"no",0
2420,"Bolivar Jaén","Ministerio del Ambiente","honduras","15:-86,5'",,,400,,"no",0
1942,"Bolivar Jaén","Ministerio del Ambiente","nicaragua","13:-85'",,,945,,"no",0
1632,"Bolívar Pérez","Ministerio del Ambiente","cuba","22:-79,5'",928,,1450,,"no",0
606,"Boris Quintero","MEF","guatemala","15,5:-90,25'",,,420,,"no",0
1818,"Braulio Correa","Ministerio del Ambiente","cuba","22:-79,5'",,,,,"no",0
856,"Braulio Rodríguez","MEF","españa","40:-4'",,,2520,,"no",0
585,"Caleb Escudé","MEF","austria","47,333333:13,333333'",,,1080,,"no",0
877,"Camilo Caballero","MEF","estados unidos de américa","39,828175:-98,5795'","1111.6",,2700,,"no",0
636,"Camilo Caballero","MEF","inglaterra","54:-4'","1003.84",,4200,,"no",0
1927,"Camilo Samaniego","Ministerio del Ambiente","cuba","22:-79,5'",,,525,,"no",0
2468,"Camilo Samaniego","Ministerio del Ambiente","méxico","23:-102'",,,700,,"no",0
1020,"Carla Bush","Ministerio de la Presidencia",,,"972.13",,,,"no",0
477,"Carla Ruiz","AIG","españa","40:-4'","2792.06",,3000,,"no",0
2855,"Carla Vásquez","MEF","paraguay","-22,993333:-57,996389'",,,315,,"informe",1
1019,"Carla White","Ministerio de la Presidencia",,,"972.13",,,,"no",0
913,"Carlamara Sánchez","MEF","estados unidos de américa","39,828175:-98,5795'","1142.96",,2000,,"no",0
1752,"Carlos Arauz","Ministerio del Ambiente","costa rica","10:-84'",,,1365,,"no",0
1535,"Carlos Coronado","Ministerio de Seguridad Pública","perú","-10:-76'",,"Convenio Marco",2400,,"no",0
1022,"Carlos Damian","Ministerio de la Presidencia","armenia","40:45'",,,1050,,"no",0
479,"Carlos Diaz","AIG","españa","40:-4'","1987.63",,3600,,"no",0
502,"Carlos Diaz","AIG","estados unidos de américa","39,828175:-98,5795'",,"Cubierto Por Comité Organizador",540,,"no",0
506,"Carlos Diaz","AIG","méxico","23:-102'",,"Cubierto Por Comité Organizador",315,,"no",0
1024,"Carlos Duboy","Ministerio de la Presidencia","colombia","4:-72'","3247.6",,100,,"no",0
1029,"Carlos Duboy","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",,,300,,"no",0
1027,"Carlos Duboy","Ministerio de la Presidencia","república dominicana","19:-70,666667'",,,400,,"no",0
1021,"Carlos Duboy","Ministerio de la Presidencia","república dominicana","19:-70,666667'",,,1000,,"no",0
1028,"Carlos Duboy","Ministerio de la Presidencia","república dominicana","19:-70,666667'","1941.3",,800,,"no",0
1025,"Carlos Duboy","Ministerio de la Presidencia","singapur","1,366667:103,8'","5405.63",,5600,,"no",0
1026,"Carlos Duboy","Ministerio de la Presidencia","suecia","62:15'","4216.46",,3000,,"no",0
2558,"Carlos Galvez","MINSA","suiza","47:8'",,"Cubierto Minsa 1500.00",,"Viáticos Completos 6600.00","no",0
2912,"Carlos Galvez","MINSA","estados unidos de américa","39,828175:-98,5795'",,"Cubierto Por Ops/oms",540,,"pdf",1
