"ID","nombrecompleto","INSTITUCION","Pais","LatLong","ano","CostoPasajes","CostoViaticos","informeNumber"
1450,"Yalideth Gonzalez","Ministerio de la Presidencia","taiwan","24:121'",2015,,1260,"No"
1451,"Yamileth Fajardo","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,,450,"No"
1452,"Yaneth Jaramillo","Ministerio de la Presidencia","paraguay","-22,993333:-57,996389'",2016,"1120.4",1200,"No"
1453,"Yessika Arenas","Ministerio de la Presidencia","argentina","-34:-64'",2015,"2775.43",2700,"No"
1454,"Yuleika Cardenas","Ministerio de la Presidencia","costa rica","10:-84'",2016,"483.99",1200,"No"
1455,"Yuriela Sagel","Ministerio de la Presidencia","ecuador","-2:-77,5'",2016,,800,"No"
1456,"Yuriela Sagel","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"406.76",1000,"No"
1457,"Yuriela Sagel","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2016,,,"No"
1458,"Yuriela Sagel","Ministerio de la Presidencia","colombia","4:-72'",2016,"909.7",1000,"No"
1459,"Zoraya Quintero","Ministerio de la Presidencia","japón","36:138'",2016,"4636.68",3600,"No"
1460,"Zoraya Quintero","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"1635.02",2250,"No"
1461,"Zury Rios","Ministerio de la Presidencia",,,2016,"644.43",,"No"
1462,"Marialina Isaza","Ministerio de Seguridad Pública","guatemala","15,5:-90,25'",2015,,315,"No"
1463,"Rodolfo Aguilera","Ministerio de Seguridad Pública","colombia","4:-72'",2015,605,400,"No"
1464,"Rodolfo Aguilera","Ministerio de Seguridad Pública","méxico","23:-102'",2016,1300,1500,"No"
1465,"Rodolfo Aguilera","Ministerio de Seguridad Pública","colombia","4:-72'",2016,605,500,"No"
1466,"Marialina Isaza","Ministerio de Seguridad Pública","el salvador","13,833333:-88,916667'",2016,,300,"No"
1467,"Marcia Rivera","Ministerio de Seguridad Pública","colombia","4:-72'",2016,,1600,"No"
1468,"Marcia Rivera","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4500,"No"
1469,"Rodolfo Aguilera","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,1200,2400,"No"
1470,"Cielo O'neill","Ministerio de Seguridad Pública","chile","-30:-71'",2016,,625,"No"
1471,"Ovidio Fuentes","Ministerio de Seguridad Pública","italia","42,833333:12,833333'",2016,,4800,"No"
1472,"Roger Morales","Ministerio de Seguridad Pública","república dominicana","19:-70,666667'",2016,,400,"No"
1473,"Juan Merida","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,3000,"No"
1474,"Kenia Porcell","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,1800,"No"
1475,"David Díaz","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,1500,"No"
1476,"Daniel Arroyo","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,1500,"No"
1477,"Alexis Bethancourt","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,1800,"No"
1478,"Orley Jimenez","Ministerio de Seguridad Pública","trinidad y tobago","11:-61'",2016,,400,"No"
1479,"Alexis Bethancourt","Ministerio de Seguridad Pública","trinidad y tobago","11:-61'",2016,,400,"No"
1480,"Ovidio Fuentes","Ministerio de Seguridad Pública","trinidad y tobago","11:-61'",2016,,400,"No"
1481,"Alexis Bethancourt","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,3600,"No"
1482,"Roger Alexander","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,3000,"No"
1483,"Roberto Castillo","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,3000,"No"
1484,"Alexis Bethancourt","Ministerio de Seguridad Pública","colombia","4:-72'",2016,,1000,"No"
1485,"Alejandro Melo","Ministerio de Seguridad Pública","israel","31,5:34,75'",2016,,2400,"No"
1486,"Alex Villa","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4500,"No"
1487,"Roman Ayala","Ministerio de Seguridad Pública","honduras","15:-86,5'",2016,,400,"No"
1488,"Aquiles Medina","Ministerio de Seguridad Pública","honduras","15:-86,5'",2016,,400,"No"
1489,"Cinia Lebron","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,750,"No"
1490,"Rogelio Donadio","Ministerio de Seguridad Pública","costa rica","10:-84'",2016,,375,"No"
1491,"Aquiles Medina","Ministerio de Seguridad Pública","honduras","15:-86,5'",2016,,300,"No"
1492,"Omar Blandon","Ministerio de Seguridad Pública","austria","47,333333:13,333333'",2016,,4800,"No"
1493,"Omar Blandon","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,2000,"No"
1494,"Aquiles Medina","Ministerio de Seguridad Pública","honduras","15:-86,5'",2016,800,1600,"No"
1495,"Roberto Guerrero","Ministerio de Seguridad Pública","españa","40:-4'",2016,,,"No"
1496,"Efrain Villalobos","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,2000,"No"
1497,"Jonathan Del Rosario","Ministerio de Seguridad Pública","suiza","47:8'",2016,,4900,"No"
1498,"Christian Vega","Ministerio de Seguridad Pública","suiza","47:8'",2016,,4200,"No"
1499,"Rodrigo Garcia","Ministerio de Seguridad Pública","costa rica","10:-84'",2016,,400,"No"
1500,"Alex Villa","Ministerio de Seguridad Pública","costa rica","10:-84'",2016,,400,"No"
1501,"Jonathan Del Rosario","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,375,"No"
1502,"Orley Jimenez","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,2400,"No"
1503,"Jonathan Del Rosario","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,2400,"No"
1504,"Jonathan Del Rosario","Ministerio de Seguridad Pública","trinidad y tobago","11:-61'",2016,,2000,"No"
1505,"Christian Vega","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,1000,"No"
1506,"Jonathan Del Rosario","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,1200,"No"
1507,"Christian Vega","Ministerio de Seguridad Pública","trinidad y tobago","11:-61'",2016,,1600,"No"
1508,"Jaime Angell","Ministerio de Seguridad Pública","el salvador","13,833333:-88,916667'",2016,,1200,"No"
1509,"Manuel Burgos","Ministerio de Seguridad Pública","el salvador","13,833333:-88,916667'",2016,,1200,"No"
1510,"Alex Villa","Ministerio de Seguridad Pública","nicaragua","13:-85'",2016,,300,"No"
1511,"Manuel Burgos","Ministerio de Seguridad Pública","el salvador","13,833333:-88,916667'",2016,,300,"No"
1512,"Rodrigo Garcia","Ministerio de Seguridad Pública","nicaragua","13:-85'",2016,,1600,"No"
1513,"Yaritza Vallarino","Ministerio de Seguridad Pública","nicaragua","13:-85'",2016,,1200,"No"
1514,"Rodrigo Garcia","Ministerio de Seguridad Pública","honduras","15:-86,5'",2016,,2000,"No"
1515,"Jorge Portugal Gutierrez","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,800,"No"
1516,"Jonathan Del Rosario","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,1500,"No"
1517,"Jonathan Del Rosario","Ministerio de Seguridad Pública","canadá","60:-96'",2016,,1800,"No"
1518,"Christian Vega","Ministerio de Seguridad Pública","canadá","60:-96'",2016,,1500,"No"
1519,"Victor Manuelsaturno","Ministerio de Seguridad Pública","canadá","60:-96'",2016,,1500,"No"
1520,"Carlos Ramea","Ministerio de Seguridad Pública","austria","47,333333:13,333333'",2016,,3000,"No"
1521,"Victor Saturno","Ministerio de Seguridad Pública","austria","47,333333:13,333333'",2016,,3000,"No"
1522,"Patricia Lee","Ministerio de Seguridad Pública","suiza","47:8'",2016,,4200,"No"
1523,"Patricia Lee","Ministerio de Seguridad Pública","costa rica","10:-84'",2016,,1200,"No"
1524,"Patricia Lee","Ministerio de Seguridad Pública","canadá","60:-96'",2016,,3000,"No"
1525,"Alvaro Varela","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,1200,"No"
1526,"Mariela Vives","Ministerio de Seguridad Pública","el salvador","13,833333:-88,916667'",2016,,600,"No"
1527,"Melissa Vasquez","Ministerio de Seguridad Pública","trinidad y tobago","11:-61'",2016,,600,"No"
1528,"Mariela Vives","Ministerio de Seguridad Pública","honduras","15:-86,5'",2016,,1600,"No"
1529,"Ileen Lezcano","Ministerio de Seguridad Pública","costa rica","10:-84'",2016,,300,"No"
1530,"Rodrigo Garcia","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,400,"No"
1531,"Carlos Mirones","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1532,"Celina Calderon","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1533,"Gilberto Subera","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1534,"Patricia Batista","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1535,"Carlos Coronado","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1536,"Jose Gomez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1537,"Rolando Becerra","Ministerio de Seguridad Pública","costa rica","10:-84'",2016,,300,"No"
1538,"Gilberto Subera","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,3000,"No"
1539,"Rene Moses","Ministerio de Seguridad Pública","colombia","4:-72'",2016,,400,"No"
1540,"Ricaurte Baloy","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,1200,"No"
1541,"Balbino Quintana","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1542,"Eric Lopez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1543,"Jovanys Gamboa","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1544,"Angel Rodriguez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1545,"Alexis Almanza","Ministerio de Seguridad Pública","holanda","52,5:5,75'",2016,,3000,"No"
1546,"Aristides Abrego","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1547,"Ricardo Wong","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1548,"Abdul Rodriguez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1549,"Rene Ortega","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1550,"Ricaurte Baloy","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1551,"Mayka De Leon","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1552,"Ricardo Chacon","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1553,"Roberto Guerrero","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1554,"Nelly Koong","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1555,"Marined Hurtado","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1556,"Eric Rodríguez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1557,"Luis Quiroz","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1558,"Romell Castillo","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1559,"Darren Delgado","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1560,"Alfredo Peña","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1561,"Ronald Vasquez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1562,"Valeriano Rodriguez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1563,"Celso Ramos","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1564,"Alexis Almanza","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1565,"Balbino Quintana","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1566,"Ricardo Wong","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1567,"Doris Diaz","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1568,"Roberto Guerrero","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1569,"Abdul Rodriguez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1570,"Dimas Nieto","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1571,"Aristides Abrego","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1572,"Eric Lopez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1573,"Ricardo Chacon","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1574,"Jovanys Gamboa","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1575,"Angel Rodriguez","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1576,"Rene Ortega","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1577,"Enrique Villavicencio","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1578,"Sugeidy Quintero","Ministerio de Seguridad Pública","perú","-10:-76'",2016,,2400,"No"
1579,"Abelardo Muñoz","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4500,"No"
1580,"Daniel Thompson","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4500,"No"
1581,"Edgardo Hurtado","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4500,"No"
1582,"Fidel Quintero","Ministerio de Seguridad Pública","república dominicana","19:-70,666667'",2016,,2400,"No"
1583,"Leoncio Pardo","Ministerio de Seguridad Pública","república dominicana","19:-70,666667'",2016,,2400,"No"
1584,"Quelso Muñoz","Ministerio de Seguridad Pública","república dominicana","19:-70,666667'",2016,,2400,"No"
1585,"Mickeal Trotman","Ministerio de Seguridad Pública","colombia","4:-72'",2016,,1600,"No"
1586,"Berta Diaz","Ministerio de Seguridad Pública","colombia","4:-72'",2016,,1600,"No"
1587,"Sonia Gordon","Ministerio de Seguridad Pública","colombia","4:-72'",2016,,1600,"No"
1588,"Daniel Thompson","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4000,"No"
1589,"Rene Moses","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4000,"No"
1590,"Alvaro Ventura","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4000,"No"
1591,"Yadira Rose","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4000,"No"
1592,"Yoharis Boyce","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4000,"No"
1593,"Cynthia Sánchez","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,4000,"No"
1594,"Rene Moses","Ministerio de Seguridad Pública","suiza","47:8'",2016,,4200,"No"
1595,"Rene Moses","Ministerio de Seguridad Pública","el salvador","13,833333:-88,916667'",2016,,1200,"No"
1596,"Aracelis Casanova","Ministerio de Seguridad Pública","austria","47,333333:13,333333'",2016,,4800,"No"
1597,"Alvin Alvarado","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,500,"No"
1598,"Maite Montes","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,500,"No"
1599,"Aracelis Casanova","Ministerio de Seguridad Pública","méxico","23:-102'",2016,,600,"No"
1600,"Julio Urriola","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,375,"No"
1601,"Juan Chavarria","Ministerio de Seguridad Pública","colombia","4:-72'",2016,,1600,"No"
1602,"Amanda Edith","Ministerio de Seguridad Pública","chile","-30:-71'",2016,,600,"No"
1603,"Ameth Barria","Ministerio de Seguridad Pública","chile","-30:-71'",2016,,2500,"No"
1604,"Alexia Soto","Ministerio de Seguridad Pública","corea del sur","37:127,5'",2016,,9600,"No"
1605,"Ricardo Diaz","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,697,1500,"No"
1606,"Belisario Tejada","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,697,1500,"No"
1607,"Marisol Guerra","Ministerio de Seguridad Pública","españa","40:-4'",2016,,2100,"No"
1608,"Belisario Tejada","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,3000,"No"
1609,"Belinda Castroverde","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,1200,2000,"No"
1610,"Aquiles Medina","Ministerio de Seguridad Pública","honduras","15:-86,5'",2016,,2000,"No"
1611,"Eric Carrion","Ministerio de Seguridad Pública","paraguay","-22,993333:-57,996389'",2016,,1600,"No"
1612,"Esperanza Gonzalez","Ministerio de Seguridad Pública","santo domingo","#N/A",2016,,2400,"No"
1613,"Yitza Batista","Ministerio de Seguridad Pública","santo domingo","#N/A",2016,,2400,"No"
1614,"Indira Palacio","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,3500,"No"
1615,"Annjanette Vergara","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",2016,,3500,"No"
1616,"Aziza Ladrón","Ministerio del Ambiente","ecuador","-2:-77,5'",2012,,,"No"
1617,"Nery Esquivel","Ministerio del Ambiente","méxico","23:-102'",2012,,,"No"
1618,"Silvano Vergara","Ministerio del Ambiente","ecuador","-2:-77,5'",2012,1471,600,"No"
1619,"José González","Ministerio del Ambiente","estados unidos de américa","39,828175:-98,5795'",2012,,675,"No"
1620,"Lucía Chandeck","Ministerio del Ambiente","cuba","22:-79,5'",2012,,,"No"
1621,"Rita Orozco","Ministerio del Ambiente","cuba","22:-79,5'",2012,,,"No"
1622,"Ma. Gracia","Ministerio del Ambiente","cuba","22:-79,5'",2012,,,"No"
1623,"Raúl Pinedo","Ministerio del Ambiente","costa rica","10:-84'",2012,,420,"No"
1624,"Edgar Chacón","Ministerio del Ambiente","costa rica","10:-84'",2012,,525,"No"
1625,"Silvano Vergara","Ministerio del Ambiente","francia","46:2'",2012,,,"No"
1626,"Raúl Pinedo","Ministerio del Ambiente","francia","46:2'",2012,,,"No"
1627,"Gerardo González","Ministerio del Ambiente","francia","46:2'",2012,2650,5400,"No"
1628,"Raúl Pinedo","Ministerio del Ambiente","estados unidos de américa","39,828175:-98,5795'",2012,,1350,"No"
1629,"Marina Gallardo","Ministerio del Ambiente","estados unidos de américa","39,828175:-98,5795'",2012,915,1350,"No"
1630,"Eric Rodríguez","Ministerio del Ambiente","paraguay","-22,993333:-57,996389'",2012,,525,"No"
1631,"Daris Domínguez","Ministerio del Ambiente","costa rica","10:-84'",2012,,525,"No"
1632,"Bolívar Pérez","Ministerio del Ambiente","cuba","22:-79,5'",2012,928,1450,"No"
1633,"Lilibeth Barba","Ministerio del Ambiente","costa rica","10:-84'",2012,,1155,"No"
1634,"Roney Samaniego","Ministerio del Ambiente","costa rica","10:-84'",2012,,1155,"No"
1635,"Silvano Vergara","Ministerio del Ambiente","honduras","15:-86,5'",2012,,600,"No"
1636,"Héctor Rodríguez","Ministerio del Ambiente","alemania","51,5:10,5'",2012,,2880,"No"
1637,"Silvano Vergara","Ministerio del Ambiente","alemania","51,5:10,5'",2012,"5117.57",6300,"No"
1638,"Raúl Pinedo","Ministerio del Ambiente","estados unidos de américa","39,828175:-98,5795'",2012,,525,"No"
1639,"Denise Delvalle","Ministerio del Ambiente","aruba","12,5:-69,966667'",2012,,525,"No"
1640,"Silvano Vergara","Ministerio del Ambiente","brasil","-10:-55'",2012,,1750,"No"
1641,"Raúl Pinedo","Ministerio del Ambiente","brasil","-10:-55'",2012,,5400,"No"
1642,"Yahaira Cárdenas","Ministerio del Ambiente","china","35:105'",2012,,3420,"No"
1643,"Javier Morales","Ministerio del Ambiente","china","35:105'",2012,,3420,"No"
1644,"Lucía Chandeck","Ministerio del Ambiente","brasil","-10:-55'",2012,,,"No"
1645,"Sygrid Barragán","Ministerio del Ambiente","brasil","-10:-55'",2012,,,"No"
1646,"Eric Rodríguez","Ministerio del Ambiente","honduras","15:-86,5'",2012,,,"No"
1647,"Leticia Samaniego","Ministerio del Ambiente","rusia","60:100'",2012,,9600,"No"
1648,"Cynthia Deville","Ministerio del Ambiente","el salvador","13,833333:-88,916667'",2012,,525,"No"
1649,"Silvano Vergara","Ministerio del Ambiente","honduras","15:-86,5'",2012,,360,"No"
1650,"Carlos Gómez","Ministerio del Ambiente","colombia","4:-72'",2012,,,"No"
1651,"Alex De Gracia","Ministerio del Ambiente","brasil","-10:-55'",2012,,2835,"No"
1652,"Fernando Domínguez","Ministerio del Ambiente","brasil","-10:-55'",2012,,2835,"No"
1653,"Tamara Hernández","Ministerio del Ambiente","brasil","-10:-55'",2012,,2835,"No"
1654,"Francisco Barría","Ministerio del Ambiente","brasil","-10:-55'",2012,,2835,"No"
1655,"Silvano Vergara","Ministerio del Ambiente","rumania","46:25'",2012,,,"No"
1656,"Marisol Dimas","Ministerio del Ambiente","rumania","46:25'",2012,,2340,"No"
1657,"Ibelice Añino","Ministerio del Ambiente","rumania","46:25'",2012,"2388.94",8600,"No"
1658,"Javier Morales","Ministerio del Ambiente","honduras","15:-86,5'",2012,,630,"No"
1659,"Dalia Vargas","Ministerio del Ambiente","china","35:105'",2012,,4500,"No"
1660,"Héctor Rodríguez","Ministerio del Ambiente","nicaragua","13:-85'",2012,,420,"No"
1661,"Hernández Bonilla","Ministerio del Ambiente","estados unidos de américa","39,828175:-98,5795'",2012,,4455,"No"
1662,"Héctor Rodríguez","Ministerio del Ambiente","antigua y barbuda","17,05:-61,8'",2012,,735,"No"
1663,"Viterbo Villarreal","Ministerio del Ambiente","méxico","23:-102'",2012,,525,"No"
1664,"Ibelice Añino","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1665,"Lionel Quiróz","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1666,"Benigno Villamonte","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1667,"Bedsy González","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1668,"Yajaira Luna","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1669,"Israel Tejada","Ministerio del Ambiente","costa rica","10:-84'",2012,,315,"No"
1670,"Alexander Montero","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1671,"Lissy Tapia","Ministerio del Ambiente","nicaragua","13:-85'",2012,,420,"No"
1672,"Raúl Pinedo","Ministerio del Ambiente","tailandia","15:100'",2012,,2340,"No"
1673,"Paola Jaén","Ministerio del Ambiente","china","35:105'",2012,,,"No"
1674,"Ibelice Añino","Ministerio del Ambiente","corea del sur","37:127,5'",2012,,2340,"No"
1675,"Emet Herrera","Ministerio del Ambiente","brasil","-10:-55'",2012,900,810,"No"
1676,"María Barrios","Ministerio del Ambiente","brasil","-10:-55'",2012,,1080,"No"
1677,"Viterbo Villarreal","Ministerio del Ambiente","españa","40:-4'",2012,,,"No"
1678,"Mirta Benítez","Ministerio del Ambiente","españa","40:-4'",2012,,,"No"
1679,"Lionel Quiróz","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1680,"José Araúz","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1681,"Aurelio Gracia","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1682,"Delvis Mojica","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1683,"Alfonso Serrano","Ministerio del Ambiente","costa rica","10:-84'",2012,,,"No"
1684,"Darío Luque","Ministerio del Ambiente","india","20:77'",2012,,,"No"
1685,"Tamara Hernández","Ministerio del Ambiente","nicaragua","13:-85'",2012,,525,"No"
1686,"Eric Rodríguez","Ministerio del Ambiente","nicaragua","13:-85'",2012,,525,"No"
1687,"Mixcel Villagra","Ministerio del Ambiente","argentina","-34:-64'",2012,,7560,"No"
1688,"Narciso Cubas","Ministerio del Ambiente","chile","-30:-71'",2012,,675,"No"
1689,"Carlos Gómez","Ministerio del Ambiente","congo","0:25'",2012,,1260,"No"
1690,"Gerardo González","Ministerio del Ambiente","brasil","-10:-55'",2012,,,"No"
1691,"Raúl Pinedo","Ministerio del Ambiente","méxico","23:-102'",2012,,315,"No"
1692,"Mabel Morcillo","Ministerio del Ambiente","méxico","23:-102'",2012,,315,"No"
1693,"Luis Vega","Ministerio del Ambiente","honduras","15:-86,5'",2012,,1575,"No"
1694,"Denise Delvalle","Ministerio del Ambiente","república dominicana","19:-70,666667'",2012,,630,"No"
1695,"Israel Tejada","Ministerio del Ambiente","república dominicana","19:-70,666667'",2012,,,"No"
1696,"Viterbo Villarreal","Ministerio del Ambiente","nicaragua","13:-85'",2012,,525,"No"
1697,"Eric Rodríguez","Ministerio del Ambiente","nicaragua","13:-85'",2012,,420,"No"
1698,"Billy Bonini","Ministerio del Ambiente","colombia","4:-72'",2012,,420,"No"
1699,"Cynthia Deville","Ministerio del Ambiente","república dominicana","19:-70,666667'",2012,,525,"No"
1700,"Lissy Tapia","Ministerio del Ambiente","méxico","23:-102'",2013,,420,"No"
1701,"Carlos Gómez","Ministerio del Ambiente","perú","-10:-76'",2013,,525,"No"
1702,"Viterbo Villarreal","Ministerio del Ambiente","méxico","23:-102'",2013,,420,"No"
1703,"Silvano Vergara","Ministerio del Ambiente","costa rica","10:-84'",2013,,,"No"
1704,"Ariadnny Guevara","Ministerio del Ambiente","costa rica","10:-84'",2013,,1050,"No"
1705,"David Díaz","Ministerio del Ambiente","nairobi","#N/A",2013,1800,4200,"No"
1706,"Lineth Arcia","Ministerio del Ambiente","nairobi","#N/A",2013,,1260,"No"
1707,"Israel Tejada","Ministerio del Ambiente","el salvador","13,833333:-88,916667'",2013,,210,"No"
1708,"Julieta Fernández","Ministerio del Ambiente","el salvador","13,833333:-88,916667'",2013,,315,"No"
1709,"Helvecia Bonilla","Ministerio del Ambiente","el salvador","13,833333:-88,916667'",2013,,315,"No"
1710,"Gerardo González","Ministerio del Ambiente","italia","42,833333:12,833333'",2013,,900,"No"
1711,"Raúl Pinedo","Ministerio del Ambiente","honduras","15:-86,5'",2013,,315,"No"
1712,"Israel Torres","Ministerio del Ambiente","honduras","15:-86,5'",2013,,315,"No"
1713,"Abraham Herrera","Ministerio del Ambiente","honduras","15:-86,5'",2013,,315,"No"
1714,"Darío Luque","Ministerio del Ambiente","honduras","15:-86,5'",2013,,315,"No"
1715,"Paola Jaén","Ministerio del Ambiente","honduras","15:-86,5'",2013,,315,"No"
1716,"Israel Torres","Ministerio del Ambiente","el salvador","13,833333:-88,916667'",2013,,210,"No"
1717,"Viterbo Villarreal","Ministerio del Ambiente","colombia","4:-72'",2013,,420,"No"
1718,"Lissy Tapia","Ministerio del Ambiente","colombia","4:-72'",2013,,420,"No"
1719,"Mirta Benítez","Ministerio del Ambiente","tailandia","15:100'",2013,,900,"No"
1720,"Mabel Morcillo","Ministerio del Ambiente","suiza","47:8'",2013,,1400,"No"
1721,"Cynthia Deville","Ministerio del Ambiente","costa rica","10:-84'",2013,,630,"No"
1722,"Kathia Mojica","Ministerio del Ambiente","guatemala","15,5:-90,25'",2013,,315,"No"
1723,"Roberto Bonilla","Ministerio del Ambiente","chile","-30:-71'",2013,,540,"No"
1724,"Darío Luque","Ministerio del Ambiente","cuba","22:-79,5'",2013,,630,"No"
1725,"Raúl Pinedo","Ministerio del Ambiente","estados unidos de américa","39,828175:-98,5795'",2012,700,1800,"No"
