nombrecompleto,CostoPasajes,CostoViaticos,CantidadViajes,TotalViaje,CostoPerViaje,Institución
Mirta Benítez,0,2045,6,2045,341,Ministerio del Ambiente
Mirtha Frías,1200,1350,1,2550,2550,MIDES
Mitzela Villareal,0,630,1,630,630,MINSA
Mitzila Rosas,0,600,1,600,600,MINSA
Mixcel Villagra,0,7560,1,7560,7560,Ministerio del Ambiente
Modesto Pascacio,543,1750,1,2293,2293,MEF
Modesto Tuñon,0,3000,2,3000,1500,Ministerio del Ambiente
Mónica Atencio,1569,3600,1,5169,5169,MITRADEL
Monica Diaz,0,400,1,400,400,MINSA
Muhamed Hajee,12123,12350,6,24473,4079,Ministerio de la Presidencia
Myrna Mclaughlin,0,4350,3,4350,1450,MINSA
Nacor Trejos,0,315,1,315,315,Ministerio del Ambiente
Nadgris Correa,0,3000,1,3000,3000,Ministerio de la Presidencia
Nadja Benson,3406,10450,5,13856,2771,MINSA
Nadja Porcel,1545,2820,2,4365,2183,MINSA
Napoleon Torres,3292,4100,4,7392,1848,Ministerio de la Presidencia
Narciso Cubas,0,675,1,675,675,Ministerio del Ambiente
Narciso Gónzalez,0,300,1,300,300,Ministerio del Ambiente
Narciso Machuca,627,300,1,927,927,Ministerio de la Presidencia
Natasha Dormoi,3025,19725,12,22750,1896,MINSA
Natasha Risseeuw,0,10600,7,10600,1514,Ministerio del Ambiente
Natividad Jaramillo,0,0,2,0,0,Ministerio del Ambiente
Nayda Salas,1739,1625,2,3364,1682,Ministerio de la Presidencia
Nazareth Del Carmen,2120,1400,1,3520,3520,Ministerio de la Presidencia
Nekelda Nelson,6108,7875,4,13983,3496,Ministerio de la Presidencia
Nelida Ortiz,842,800,1,1642,1642,Ministerio de la Presidencia
Nelly Becerra,0,420,1,420,420,Ministerio del Ambiente
Nelly Koong,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Nelsi Tejada,1200,2250,1,3450,3450,MIDES
Nelson Castillo,658,6650,5,7308,1462,Ministerio de la Presidencia
Nery Esquivel,0,0,1,0,0,Ministerio del Ambiente
Néstor González,15702,13200,6,28902,4817,MICI
Néstor Murillo,0,630,1,630,630,Ministerio del Ambiente
Neyra Herrera,0,6360,7,6360,909,Ministerio del Ambiente
Nicolasa Chavarría,706,1125,1,1831,1831,MEF
Nicole Fernández,1080,4200,1,5280,5280,MEF
Nicole O´callaghan,0,945,1,945,945,Ministerio del Ambiente
Nicomedes Jiménez,0,2800,2,2800,1400,Ministerio del Ambiente
Nidia Pino,0,525,1,525,525,MITRADEL
Niurka Gonzalez,1800,6400,7,8200,1171,MINSA
Nivardo Ibarra,0,6345,2,6345,3173,Ministerio del Ambiente
Noel Trejos,0,10795,6,10795,1799,Ministerio del Ambiente
Nohelia Medina,0,315,1,315,315,Ministerio del Ambiente
Nohely Nieto,0,6510,3,6510,2170,MITRADEL
Noriel Castillo,0,0,1,0,0,MINSA
Noriela Maure,0,315,1,315,315,Ministerio del Ambiente
Noris Toribio,0,1050,1,1050,1050,Ministerio del Ambiente
Noris Vásquez,0,0,1,0,0,MEF
Norma Astudillo,0,1320,2,1320,660,MINSA
Norman Harris,3031,13400,3,16431,5477,MICI
Nubia Del Carmen,0,0,1,0,0,MOP
Nurkia Arosemena,1585,2250,1,3835,3835,MINSA
Octavio De La Cruz,6138,12850,4,18988,4747,Ministerio de la Presidencia
Octavio Espinosa,658,1600,1,2258,2258,Ministerio de la Presidencia
Odalis Sinisterra,0,405,1,405,405,MINSA
Oderay Gonzalez,0,825,2,825,413,MINSA
Okir Ortega,1301,3825,2,5126,2563,Ministerio del Ambiente
Oliver Serrano,985,2535,7,3520,503,MEF
Olivia Zuñiga,1,0,1,1,1,Ministerio de la Presidencia
Olmedo Arrocha,0,525,1,525,525,MEF
Olmedo Pérez,0,5280,4,5280,1320,Ministerio del Ambiente
Omaira Mora,1120,2250,1,3370,3370,MEF
Omaira Tejada,0,300,1,300,300,MINSA
Omar Abrego,0,500,2,500,250,Ministerio del Ambiente
Omar Blandon,0,6800,2,6800,3400,Ministerio de Seguridad Pública
